,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
EMPIRE 'A',0.0,1.3089044964080399e-18,8.918890172480038e-19,0.0,0.0,0.049169925315437374,0.011234219335395304,0.0,0.0,5.045613492137299e-18,0.0,0.005302622814539788,0.0417316255740253,0.037736481783159165,0.06504231196158977,0.06608696190110347,0.06764535438748125,0.044101096865341166
ENBRIDGE,0.0,0.0,0.0,6.753838687371762e-19,5.096597999603388e-18,1.0765276632002883e-18,0.0,1.2978545383290178e-18,3.024988604776519e-19,0.0,1.9890803553900463e-18,3.8326142802050476e-18,0.0,2.135378734032229e-19,0.0,1.1451061819214389e-18,5.835843264773568e-19,0.0
ENERPLUS,2.4211371220520506e-18,7.124539000685271e-19,8.199863732584668e-19,0.0,4.436765079947686e-18,0.0,1.2162230153661402e-18,0.0,0.0,0.0,8.146727329779611e-19,5.212589756946419e-19,6.174906054594183e-19,0.0,1.192314741495728e-18,1.0981432252438643e-19,7.035775709394773e-18,0.0
ENSIGN EN.SVS.,7.16074593068678e-19,4.960598394766886e-19,2.834818384822186e-18,0.0,0.0,0.0,0.0,0.0,8.3093837369594e-19,7.583938453843737e-18,6.076866803162824e-19,0.0,3.794053570774436e-19,5.1866353326150734e-05,0.01682579421524507,0.007878420908594048,3.711667598966025e-18,0.0
FAIRFAX FINL.HDG.,1.1205374521908172e-18,0.0,0.0,5.0675243663848505e-18,0.00016035540021696535,6.165564744207032e-18,3.0913777567754925e-18,0.0,0.0,8.911824890327707e-19,0.0,1.7504015283807598e-19,0.0,1.1027081727082399e-18,3.067906919029108e-18,5.642744689232973e-19,0.0,0.0
FINNING INTL.,0.0,0.0,7.545840149614252e-19,0.0,2.5135054084339713e-18,0.0,0.0,0.0,2.900427844034214e-18,7.390710504931562e-21,0.0,2.3059270678378725e-18,5.696110110553193e-19,0.0,1.665888163542933e-18,2.6156590293479524e-19,0.0,0.0
FIRST QUANTUM MRLS.,4.865899465274137e-20,0.0,1.2023152420940306e-18,6.034838275527492e-19,0.0,1.0919491898972159e-18,2.1098207971248245e-18,0.0,1.216324062179049e-18,0.0,0.0,9.604707416649448e-18,0.0,0.0,2.6762180027790115e-18,3.921481829886705e-19,3.191055434832789e-18,0.0
FORTIS,0.004013955840767777,2.6065506471714774e-18,0.0,3.0525680175720506e-19,0.0007438032622097339,3.549597196357634e-18,4.358414416827845e-19,0.0,0.0,8.039519467160472e-19,0.0,1.829621981695951e-18,0.0,0.0,0.0,0.0,0.0010554417766561579,1.1161605439985663e-18
GILDAN ACTIVEWEAR,8.947182348238632e-19,0.0,1.6778202211290026e-18,4.699224871223351e-19,0.0,1.3937245057199165e-18,3.7785119604533554e-19,0.0,0.0,0.0,1.0363306314719817e-19,5.693812962021681e-18,1.0456712488236754e-18,0.0,2.5211217812370695e-19,0.0,3.670012369941098e-18,0.0
GREAT WEST LIFECO,0.0,0.0,4.3122412749591395e-19,0.0,4.201526573730666e-18,3.664645344527627e-18,0.0,0.0,7.856691655470432e-19,0.0,0.0,1.0761641630241584e-18,0.0,2.7144641152354977e-19,0.0,0.0,9.395417084711644e-19,4.2199090645347865e-19
IGM FINL.,0.0,4.701325490328581e-20,0.0,0.0,0.0,0.0,0.0,1.8894479119082554e-18,0.0,0.0,2.686569812526723e-18,1.1372059321159065e-18,2.301588801534166e-18,0.0,0.0,0.0,2.393557207287555e-18,3.1808098357797953e-18
IMPERIAL OIL,0.03300354921855515,0.025500707548763647,0.022826764942486796,0.0006134146621893826,0.0,0.0,1.2406381232827342e-18,4.162817390218768e-18,0.0,0.0,0.0,1.2591879863096423e-18,0.0,7.575125534859461e-19,5.335136136776824e-19,0.0,2.512661063151394e-18,0.0
KINROSS GOLD (NYS),7.160095140040217e-19,1.2869201125706572e-19,0.0,1.2681630035744041e-19,0.02715065667110792,0.0014641815321080795,0.0,2.2510878192318125e-18,0.0008687723468868369,7.697173619045596e-19,0.0,0.007879552622676743,5.310309322358035e-19,1.8756986982640601e-19,0.0,1.688448153997079e-18,0.0,4.59426143643384e-18
LOBLAW,0.0,1.0987406332813121e-18,7.173372450437743e-19,0.0,1.3479550390188163e-18,4.105398570133684e-20,0.0,3.7381188925803346e-18,1.742640328234997e-18,6.350605047597839e-19,0.021331069341209097,0.006445358514360703,6.577197940932827e-19,1.4848268391330601e-18,0.0,0.0,0.029254257842791637,0.02710537253038148
MAGNA INTL.,2.3129871823557656e-18,3.3411520463015167e-18,3.917859636079137e-18,0.0,0.0,0.0,0.0,4.072684558586406e-18,6.935234656091823e-18,6.758350475307074e-19,1.2346110688665459e-18,0.0,3.2325602339364606e-18,0.0,2.259878612007766e-18,3.798985755711752e-18,3.783250161392635e-18,3.753449742187852e-18
MANULIFE FINANCIAL,5.734961574169077e-20,0.0,0.0,0.0,0.0,0.0,1.0096030958371039e-17,0.0,1.991510478699094e-18,0.0,0.0,1.4178055191947011e-18,0.0,4.205746982391793e-18,3.530113094162036e-18,7.952828008069587e-19,1.3947684710257087e-18,6.881810890670686e-19
METHANEX,1.5931082138154969e-18,0.0,9.642216305249244e-19,1.4285088189563236e-18,0.0,2.9273791419167684e-18,5.516642832197569e-18,3.2989264309867737e-18,2.3266803751512998e-18,1.3585029274170678e-18,0.0,0.0,0.0,5.862365800104296e-19,0.0,0.0,1.2544094464447601e-18,3.747424244964428e-18
METRO,3.493281621737733e-19,0.0,5.134564572969942e-19,0.0,0.0,2.354446973300292e-19,1.8774850872936536e-18,0.0,3.967397845576409e-18,0.0,0.0,2.2663895194932434e-20,8.04324444322497e-19,0.009331934670108533,0.02256100433094395,0.0007318567019969258,0.05007861435357989,0.07706110313707197
